title,umap_x,umap_y,sentiment_score,media_name
Israel-Hamas War: Ceasefire gaining momentum ahead of Ramadan,8.252526,5.042997,5.0,cbsnews.com
Biden facing criticism as Israel strikes Rafah,6.2011886,7.7632604,5.0,cbsnews.com
At least 900 killed since Hamas surprise attack in Israel,8.710717,10.261636,10.0,cbsnews.com
U.S. submarine ordered to Middle East as fears of retaliatory attacks on Israel continue,5.3646965,6.2763677,7.0,cbsnews.com
Breaking down U.S.-Israel tensions over possible Rafah offensive,6.432872,8.167428,5.0,cbsnews.com
Tensions rise on Israel's border with Lebanon as Hezbollah continues its assault,3.9812238,7.8572745,8.0,cbsnews.com
Biden traveling to Italy for G7 Summit with focus on wars in Ukraine and Gaza,6.9813833,4.9404764,5.0,cbsnews.com
CIA director William Burns in Egypt for hostage negotiations between Israel and Hamas,12.487004,9.02688,5.0,cbsnews.com
Israel strikes schools in Gaza as U.S. says cease-fire deal close,8.813224,9.564137,5.0,cbsnews.com
"Details on Israel's looming offensive will not be revealed for strategic reasons, Netanyahu says",5.7208033,9.753096,8.0,cbsnews.com
"Chris Christie travels to Israel, shows solidarity in the war against Hamas",9.468209,7.0868664,7.0,cbsnews.com
13-year-old Kfar Aza survivor talks about her and her family's escape from Hamas fighters,11.50467,9.000912,8.0,cbsnews.com
"U.S. teen fatally shot in West Bank by Israeli forces, Palestinian officials say",8.708731,11.163136,0.0,cbsnews.com
"U.S. to offer ""every kind of support"" to Israel on hostages, Biden administration adviser says",6.4843764,5.041015,5.0,cbsnews.com
Growing tension after U.S. pauses delivery of certain weapons to Israel over Rafah,6.3131948,7.958932,5.0,cbsnews.com
"Israel expands Gaza ground offensive, says efforts in south will carry ""no less strength"" than in north",7.2921596,7.7456775,8.0,cbsnews.com
"Israel, U.S. believe Iran is about to retaliate for Israeli bombing of Syria consulate, officials say",4.625614,6.8351216,8.0,cbsnews.com
10 protesters charged failing to leave UC Irvine while police cleared pro-Palestinian encampment,11.98476,5.93706,5.0,cbsnews.com
"Anti-Hamas billboard in Worcester vandalized, message reversed",10.849408,7.514867,5.0,cbsnews.com
Israel says strike on Gaza refugee camp killed terrorists; Palestinian officials say civilians died,8.241177,9.5829525,5.0,cbsnews.com
Allegheny County Council votes against calling for ceasefire in Israel-Hamas war,8.243485,4.794468,5.0,cbsnews.com
Protests supporting both Israel and Palestinians face off in NYC,11.31669,5.8367405,5.0,cbsnews.com
Netanyahu rejects Biden's criticism of Gaza war approach,5.63717,10.219859,5.0,cbsnews.com
"NYPD on high alert as Maine shootings suspect remains at large, demonstrations over Israel-Hamas war continue across city",10.990632,6.588029,5.0,cbsnews.com
Dozens killed in Israeli airstrike in Gaza and other top headlines,8.12361,9.83706,8.0,cbsnews.com
"U.N. top court imposes emergency measures in Israel genocide case, doesn't order cease-fire",9.908918,5.2823706,5.0,cbsnews.com
Israel says its military close to entering Gaza City,7.6541986,7.945551,8.0,cbsnews.com
Jewish student leaders at Pittsburgh universities report undercurrent of tension amid Israel-Hamas war,12.181165,6.350777,5.0,cbsnews.com
"Mideast scholar Hussein Ibish: ""Israelis and Palestinians must stop dehumanizing each other""",9.420312,6.272357,5.0,cbsnews.com
Iran launches drones toward Israel in retaliatory attack after consulate strike in Syria,4.776642,7.1085134,8.0,cbsnews.com
"Iran vows revenge after killings of Hamas, Hezbollah leaders",4.5670114,6.874154,10.0,cbsnews.com
Negotiations between Israel and Hamas are progressing,8.9789915,5.6720476,5.0,cbsnews.com
Rafah hit by Israeli airstrikes overnight,6.749398,8.535219,8.0,cbsnews.com
"Power, communication reportedly out in Gaza as Israel expands ground activity",7.9149456,7.5667496,7.0,cbsnews.com
U.S. believes Iran set to attack Israel,5.040419,6.3921742,10.0,cbsnews.com
"Biden ""outraged"" over aid worker deaths in Gaza",7.2012854,4.807852,0.0,cbsnews.com
"Israel vows to ""destroy Hamas"" as death toll rises from unprecedented attack",9.530619,7.587626,8.0,cbsnews.com
NYU students hold pro-Israel rally in Washington Square Park,11.6433325,5.6334147,5.0,cbsnews.com
Israel declares it will no longer work with UNRWA,9.045452,4.292336,5.0,cbsnews.com
"Major shift in U.S., Israel relations after Biden threatens to withhold weapons",6.3502803,5.01861,5.0,cbsnews.com
Efforts to secure ceasefire in Gaza continue,8.366045,5.0905724,5.0,cbsnews.com
Biden reaffirms support for Israel after Iran attack,6.4037356,4.948199,8.0,cbsnews.com
Palestinians in New Jersey say they are angry over suffering at hands of Israel,8.784469,7.0442786,5.0,cbsnews.com
AI-generated video purportedly showing fiery aftermath of Israeli airstrike in Beirut goes viral,4.7677255,8.384962,5.0,cbsnews.com
Trump meeting with Netanyahu at Mar-a-Lago as Israeli leader wraps up U.S. trip,5.662126,10.130592,5.0,cbsnews.com
Preparations underway for ground invasion of Gaza by Israeli forces,7.2573905,7.5713944,8.0,cbsnews.com
Secretary of State expected in Israel as peace talks continue,8.03669,4.9646077,5.0,cbsnews.com
Israeli military says it rescued 2 hostages during Rafah raid; Gaza officials say dozens of Palestinians killed,12.400754,9.742284,7.0,cbsnews.com
What we know about the Israel-Hamas cease-fire extension,9.233645,6.0149817,5.0,cbsnews.com
Israel airstrikes rock parts of Lebanon as Hezbollah launch rockets at air base near Haifa,4.413619,8.437308,10.0,cbsnews.com
Israel retaliates in Lebanon after Golan Heights airstrike kills at least 12,4.366687,8.807354,8.0,cbsnews.com
"Sen. Bernie Sanders: ""No more money to Netanyahu's war machine to kill Palestinian children""",5.9419646,10.100211,10.0,cbsnews.com
New push on for Israel-Hamas war ceasefire deal,8.229362,4.961198,5.0,cbsnews.com
"How the Israel-Hamas war has evolved since Oct. 7, 2023",10.379233,2.9816148,5.0,cbsnews.com
Another high-ranking Hezbollah commander killed by Israeli airstrike as conflict escalates,4.220848,8.775998,8.0,cbsnews.com
Inside the IDF's urban warfare training,9.239727,8.910073,8.0,cbsnews.com
Israel and Hezbollah trade heavy fire as cross-border strikes escalate,4.0224953,8.27808,8.0,cbsnews.com
"Expert analysis: How potential Israel ground invasion could impact hostages, civilians",12.880927,9.750891,5.0,cbsnews.com
Tens of thousands across Middle East protest Israeli airstrikes on Gaza,8.092772,9.457192,0.0,cbsnews.com
"U.N. says Israel-Hamas war causing ""unmatched"" suffering in Gaza, pleads for new cease-fire, more aid",9.034165,4.875049,0.0,cbsnews.com
Israeli drone pilot admits mistakes are made in Gaza operation,5.593988,8.048888,5.0,cbsnews.com
"The Associated Press says Israel has shut down its Gaza live video feed in an ""abusive use"" of a new law",8.406857,7.7483993,3.0,cbsnews.com
Dozens killed in Israeli strikes on Gaza overnight amid fears of widening conflict,8.053168,9.747026,5.0,cbsnews.com
Prosecutors explain details in charges filed against man connected to death of pro-Israel protestor,11.487476,6.774986,5.0,cbsnews.com
Second group of Hamas-held hostages freed after long delay,12.653235,8.921483,5.0,cbsnews.com
"Biden condemns ""antisemitic protests"" and ""those who don't understand what's going on with the Palestinians""",7.20861,4.801187,5.0,cbsnews.com
"Biden meets 4-year-old Abigail Mor Edan, the youngest American hostage released by Hamas",12.127844,8.945082,3.0,cbsnews.com
"Tens of thousands killed, dozens still held hostage in wake of Oct. 7 Hamas attack on Israel",11.881196,8.755045,10.0,cbsnews.com
Israel-Hamas War: Israel pressing forward to force Hamas out of Gaza,9.073929,7.3338,10.0,cbsnews.com
"Dozens dead after Israeli airstrike on Gaza mosque, health ministry says",8.196461,9.851106,5.0,cbsnews.com
President Biden endorses Israel's cease-fire proposal to Hamas,7.5584645,4.8062396,5.0,cbsnews.com
Hezbollah fires barrage of rockets at northern Israel,4.2002115,8.601583,10.0,cbsnews.com
"Israel says these photos show how Hamas places weapons in and near U.N. facilities in Gaza, including schools",9.136485,9.300119,8.0,cbsnews.com
Hezbollah leader Hassan Nasrallah killed by Israeli airstrike in Lebanon's capital Beirut,4.142706,9.177609,10.0,cbsnews.com
Israel has not claimed responsibility for death of Hamas leader as Iran vows revenge,4.8958945,6.6689086,8.0,cbsnews.com
"Iran launches missile attack on Israel, but military says no casualties reported",4.808221,6.6834455,8.0,cbsnews.com
"Florida legislature to address school vouchers, Israel-Hamas war in special session",12.155769,6.4789352,5.0,cbsnews.com
"Hope for Israel-Hamas cease-fire, but no relief yet for Gaza's displaced, or for Israeli hostages' families",12.616503,8.927114,3.0,cbsnews.com
U.S. issues travel warning for Israel with Iran attack believed to be imminent and fear Gaza war could spread,8.0792675,7.020562,8.0,cbsnews.com
Israeli forces ramp up urban warfare training ahead of looming Gaza ground invasion,7.3394675,7.751921,8.0,cbsnews.com
"Israel-Hamas hostage deal still on track despite delay, White House says",12.849315,8.900505,5.0,cbsnews.com
Former Israeli Air Force head defends IDF tactics in Gaza,8.568909,8.375893,7.0,cbsnews.com
"U.S., Egypt and Qatar call for ""urgent talks"" to reach Israel-Hamas cease-fire",8.925633,5.5334325,5.0,cbsnews.com
Israel considering deal with Hamas for temporary Gaza cease-fire in exchange for release of some hostages,12.845615,8.810919,5.0,cbsnews.com
More hostages released after Israel and Hamas agree to 2-day extension of cease-fire,12.858617,8.841627,5.0,cbsnews.com
Palestinian community trying to stay in contact with family in Gaza amidst violent conflict,8.800797,8.363531,2.0,cbsnews.com
U.S. urges Israel to exercise caution as it prepares for next stage of war,6.527191,6.496246,5.0,cbsnews.com
Gaza cease-fire negotiations continue in Cairo,8.716174,5.3511734,5.0,cbsnews.com
"NYPD on alert amid Maine manhunt, demonstrations over Israel-Hamas war",10.9837475,6.6423974,5.0,cbsnews.com
"Biden condemns ""antisemitic protests"" and ""those who don't understand what's going on with the Palestinians""",7.1823497,4.763233,5.0,cbsnews.com
U.S. participates in renewed Israel-Gaza cease-fire talks in Cairo,8.642457,5.565023,5.0,cbsnews.com
Dozens killed in Israeli strikes across northern Gaza,8.010486,9.694374,7.0,cbsnews.com
Protesters calling for cease-fire in Gaza disrupt Senate hearing over Israel aid as Secretary of State Antony Blinken speaks,5.1619763,11.665349,3.0,cbsnews.com
"Israel says Palestinian gunmen killed after West Bank attack lauded by Hamas, as Gaza deaths near 30,000",8.512288,11.179827,8.0,cbsnews.com
Israel declares war on Hamas,9.437216,7.286617,10.0,cbsnews.com
Israeli strikes in Gaza kill dozens as preparations for high-level cease-fire talks move forward,7.958878,9.590993,5.0,cbsnews.com
Israel tells 1.1 million people in northern Gaza to leave within 24 hours,7.6982594,8.421459,5.0,cbsnews.com
Israel ramps up attacks in Gaza,7.7231016,7.8355646,8.0,cbsnews.com
"Israel, Hezbollah trade strikes, U.S. sending more troops to Middle East",3.7654297,8.047642,8.0,cbsnews.com
Baby saved from dying mother's womb after Israeli airstrike on Gaza city of Rafah named in her honor,10.438253,9.868241,2.0,cbsnews.com
What we know about the Israeli airstrike that killed 7 aid workers,7.8886642,9.729025,2.0,cbsnews.com
Pro-Palestinian protesters rally in the Fairfax District,11.560431,5.6260867,5.0,cbsnews.com
"As Israel wages war in Gaza over Hamas' terror, one Palestinian tells CBS News, ""They're wiping us out.""",8.907311,7.766892,8.0,cbsnews.com
"How Israel is responding to Biden's warning against ""indiscriminate bombing"" in Gaza",7.396756,5.21732,5.0,cbsnews.com
Chicago area synagogue hosts Israel solidarity event,11.51925,5.6131024,5.0,cbsnews.com
Israel resumes strikes against Hamas,8.322182,5.884257,8.0,cbsnews.com
Interfaith potluck aimed to soothe tensions over Israel-Hamas war,9.444794,6.94303,5.0,cbsnews.com
Israel starts moving thousands of troops out of Gaza,7.573525,8.114944,5.0,cbsnews.com
"Teens struggle to identify misinformation about Israel-Hamas conflict — the world's second ""social media war""",9.68655,7.8111253,5.0,cbsnews.com
"Lebanon border clashes between Israel, Hezbollah spark fears of wider war",3.976158,7.7677183,7.0,cbsnews.com
Egypt's role amid Israel-Hamas war,8.764867,6.5454497,5.0,cbsnews.com
World awaits Israel response to Iran attack,5.1094275,6.363032,8.0,cbsnews.com
The war with Hamas pushed many Israeli dual citizens to leave the country. Here are stories of some who stayed.,8.797775,8.388828,5.0,cbsnews.com
Israel rejects calls for a cease-fire in Gaza as its troops encircle Gaza City,8.616353,5.705979,8.0,cbsnews.com
"First hostages freed after extension of Israel-Hamas pause, IDF confirms",12.6534395,9.095123,5.0,cbsnews.com
Dozens killed in Israeli airstrike on Gaza refugee camp,8.129384,9.823178,3.0,cbsnews.com
Palestinian Health Ministry: At least 500 killed in Gaza hospital blast,9.132515,10.226977,0.0,cbsnews.com
Hamas releases video of Israeli hostages in Gaza demanding Netanyahu agree to prisoner swap,11.642425,9.413609,7.0,cbsnews.com
"NYU pro-Palestinian encampment remains in place, despite threat of suspensions",12.085027,6.3768964,5.0,cbsnews.com
"American mother living in Israel says U.S. evacuation effort ""confusing"" amid Israel-Hamas war: ""It's a mess""",7.8773875,8.701237,5.0,cbsnews.com
"Israeli military fires 2 officers as probe blames World Central Kitchen deaths on ""mistaken identification""",8.18197,10.160212,5.0,cbsnews.com
"At least 1,200 killed in Israel-Hamas fighting, several Americans confirmed dead",8.725882,10.218401,5.0,cbsnews.com
"Israel's Netanyahu heads to D.C. after Biden quits presidential race, war with Hamas continues",5.759335,10.230825,5.0,cbsnews.com
"Crowd rallies in Queens in support of Palestinian people: ""We are their voice""",11.495931,5.615363,5.0,cbsnews.com
Israel appears poised for ground offensive into Gaza,7.301374,7.676029,8.0,cbsnews.com
"Escalation in the Middle East comes as Israel, Hamas war continues.",6.013008,6.2358265,7.0,cbsnews.com
Florida leaders and organizations respond to and condemn Hamas attacks in Israel,10.277927,7.1705065,5.0,cbsnews.com
Hamas officials and medic say Israel surrounding 2nd Gaza hospital as babies from Al-Shifa reach Egypt,10.299781,10.363818,5.0,cbsnews.com
Hope for new Israel-Hamas cease-fire piles pressure on Netanyahu as Gaza war nears 7-month mark,6.218823,9.930217,5.0,cbsnews.com
"Watch Miami-based rabbi, imam discuss Israel-Hamas war: 'Don't demonstrate for peace, demonstrate peace'",9.484302,6.6709366,5.0,cbsnews.com
3-year-old Israeli American could soon be among 1st hostages to be released by Hamas,12.243236,8.9424305,5.0,cbsnews.com
"Israeli troops enter Al Nasser Hospital, Gaza's biggest hospital still functioning, amid the war with Hamas",10.131921,10.451525,5.0,cbsnews.com
Assassinations of Hamas leaders stoke fears of wider conflict in Middle East,10.383455,7.643904,5.0,cbsnews.com
Protesters clash with police at campus demonstrations voicing support for Gaza,11.648583,5.790606,5.0,cbsnews.com
Israeli military says it's surrounded the home of architect of the Oct. 7 Hamas attack,10.330173,7.0645404,8.0,cbsnews.com
Israel strikes Lebanon as Hezbollah fires rockets,4.224536,8.544189,8.0,cbsnews.com
"Israel launches deadly, ""full force"" operation in West Bank as Gaza war drags on",7.9411764,11.097046,8.0,cbsnews.com
White House says U.S. will not dictate timeline of Israeli strategy in Gaza offensive,7.832277,6.666708,5.0,cbsnews.com
Protests over Gaza war ramp up on U.S. college campuses,11.933837,6.0627084,5.0,cbsnews.com
A look at a close call following Israeli missile strike in Gaza,8.116291,7.803439,5.0,cbsnews.com
2 more hostages freed by Hamas overnight,12.5969,8.912526,5.0,cbsnews.com
Israel-Hamas war continues,9.421913,7.1573963,8.0,cbsnews.com
"National Security Adviser Jake Sullivan says U.S. will press ""relentlessly"" for Hamas to release hostages",12.414165,8.695578,5.0,cbsnews.com
U.S. vetoes United Nations resolution calling for immediate humanitarian cease-fire in Gaza,9.045109,4.713668,5.0,cbsnews.com
"Pro-Palestinian protests spread, get more heated as schools' reactions differ",11.839762,6.0342016,5.0,cbsnews.com
"Retired IDF major general, wife race to rescue family at Israeli kibbutz during Hamas attack",10.923214,8.749751,8.0,cbsnews.com
Protests pick up after several hostages killed in Gaza,12.417454,9.7225895,3.0,cbsnews.com
Israel orders new evacuations in Rafah as it gets ready to expand operations,6.979485,8.493877,8.0,cbsnews.com
Israel-Hamas war combat resumes in Gaza as Israelis accuse the Palestinian group of violating cease-fire,8.513076,5.697136,8.0,cbsnews.com
"Nevada Sen. Jacky Rosen: ""We have to find a path forward"" for Palestinian people",9.2248955,6.8794127,0.0,cbsnews.com
Resolution calling for ceasefire in Israel-Hamas war advances in Chicago,8.22239,4.9154735,5.0,cbsnews.com
"Israeli Prime Minister Benjamin Netanyahu says the U.S. would be ""doing a hell of a lot more"" after a terror attack",5.7582073,9.992998,10.0,cbsnews.com
"Israel moving thousands of troops out of Gaza, but expects ""prolonged fighting"" with Hamas",7.9642305,8.160484,7.0,cbsnews.com
"Israel rejects cease-fire amendments proposed by Hamas; Israelis, Hezbollah trade strikes",8.985074,5.6230245,8.0,cbsnews.com
"Sen. Tom Cotton says Israel is ""fighting a war for survival against a terrorist group""",7.2045774,6.384013,8.0,cbsnews.com
Hamas says Israeli airstrike kills 3 sons of the group's political leader in Gaza,8.063251,10.067716,5.0,cbsnews.com
Israel blames Gaza starvation on U.N. as UNICEF says a third of Gazan infants and toddlers acutely malnourished,9.235447,8.629788,2.0,cbsnews.com
"Biden administration approves $20 billion in weapons, aircraft sales to Israel as Hamas says it won't participate in talks",6.226012,5.30364,8.0,cbsnews.com
Oil prices surge amid war between Israel and Hamas,9.169188,6.8519073,5.0,cbsnews.com
Israel says it's targeting Hamas leadership as ground offensive intensifies,9.896135,7.3974557,8.0,cbsnews.com
Fury grows across Middle East over Israeli bombings of Gaza,7.5603533,7.804729,5.0,cbsnews.com
Israel's expanded raids into Gaza mark major escalation in war,7.675351,7.991931,8.0,cbsnews.com
Penalties eyed for Florida students who express support for Hamas,12.233799,6.4185057,10.0,cbsnews.com
"U.N. Security Council passes resolution demanding immediate Hamas-Israel war cease-fire, release of hostages",9.001379,4.6374774,5.0,cbsnews.com
"Biden says he's ""not confident"" Israel and Hamas can reach ceasefire deal",7.3793163,4.9032526,5.0,cbsnews.com
Biden says he hopes for Israel-Hamas cease-fire by Monday,7.4768667,4.8456903,5.0,cbsnews.com
Retired Army major analyzes Israel's decision to strike Gaza refugee camp,8.318722,9.031857,5.0,cbsnews.com
Pro-Palestinian protest offshoot occupies condemned UC Berkeley building,12.062491,6.109866,5.0,cbsnews.com
"U.N. says Israel-Hamas war causing ""unmatched"" suffering in Gaza, pleads for new cease-fire, more aid",9.084526,4.862925,0.0,cbsnews.com
Israel-Hamas War: U.N. General Assembly to vote for ceasefire,8.307307,4.8171506,5.0,cbsnews.com
What Israel's military found at Al-Shifa — and what it didn't,10.348765,10.483109,5.0,cbsnews.com
Israel faces mounting calls for new cease-fire in war with Hamas from U.N. and Israeli hostage families,12.824632,8.814053,5.0,cbsnews.com
Israel-Hamas war: Hostages released as temporary cease-fire takes effect,12.809847,8.787156,5.0,cbsnews.com
Israel says it will stop UNRWA from operating in Gaza after war,9.042856,4.2995787,8.0,cbsnews.com
Israel marks one year since deadly Oct. 7 attack by Hamas,10.395984,7.106627,8.0,cbsnews.com
Israel's bombing campaign in Lebanon expands farther north,4.112551,7.9968457,10.0,cbsnews.com
Justice Department charges Hamas leader in connection with Oct. 7 massacre in Israel,10.652896,7.463653,8.0,cbsnews.com
Israel strikes mosque in West Bank,8.151011,11.4098625,7.0,cbsnews.com
Upper West Side crowd gathers in solidarity with Israel to mark 30 days since Hamas launched attack,11.272329,5.7663584,8.0,cbsnews.com
Top U.N. court orders Israel to halt Rafah offensive,6.36089,8.14447,5.0,cbsnews.com
Democratic bill with billions in aid for Ukraine and Israel fails to clear first Senate hurdle,5.8665295,4.5406566,5.0,cbsnews.com
Israel tells Palestinians in northern Gaza to leave area,7.7749205,8.408295,5.0,cbsnews.com
"Transcript: Philippe Lazzarini from U.N. Relief and Works Agency for Palestinian Refugees, on ""Face the Nation,"" Oct. 22, 2023",8.408919,8.909492,0.0,cbsnews.com
"What is Hamas, the group behind the deadly attack in Israel?",10.07404,7.384131,5.0,cbsnews.com
"Israel-Hamas war leaves thousands of Palestinians in Gaza facing ""death by starvation,"" aid group warns",8.672105,7.829946,0.0,cbsnews.com
"Dozens reported dead in Israeli airstrikes in southern Gaza, where civilians had been told to go",8.134491,9.78025,5.0,cbsnews.com
Israel faces Iranian-backed Hamas to the south and Hezbollah to the north,4.2796764,7.8796916,10.0,cbsnews.com
Israeli military denies involvement in strikes on two encampments in Gaza,8.164367,8.839083,5.0,cbsnews.com
"Iran launches missile attack on Israel, but Israeli military says no casualties reported",4.7826986,6.6822014,8.0,cbsnews.com
What's in the latest Israel-Hamas cease-fire deal?,9.263447,6.1175003,5.0,cbsnews.com
IDF airstrikes resume in Gaza following collapse of cease-fire,8.675677,8.22011,8.0,cbsnews.com
"Hamas to release second group of Israeli hostages after hours-long delay, mediators say",12.723952,8.875986,5.0,cbsnews.com
Israel rescues 4 hostages taken in Hamas attack last fall,12.572679,9.204314,6.0,cbsnews.com
"Mom of Gaza boy with polio begs for help as Israel-Hamas war leaves family in tent camp: ""Nothing is clean""",9.495671,9.786814,0.0,cbsnews.com
"Police investigate threatening letter to family over ""Free Palestine"" sign as hate crime",11.344296,5.6949735,3.0,cbsnews.com
Videos show aftermath of Israel's strike on Gaza refugee camp,8.595095,9.378295,5.0,cbsnews.com
Netanyahu says Israel will target Rafah to defeat Hamas amid cease-fire talk,6.157414,9.499361,8.0,cbsnews.com
"Israel, Hamas express concerns about next release of hostages, prisoners",12.460822,8.870308,5.0,cbsnews.com
Fighting resumes in Gaza after short-term cease-fire ends,8.509348,5.7249293,7.0,cbsnews.com
Recapping Biden's trip to Israel as hospital explosion curtails diplomatic efforts,6.8351817,4.5397406,5.0,cbsnews.com
At least 22 killed in Hamas attack in Israel,8.656505,10.170675,10.0,cbsnews.com
Senior Hamas leader killed in Beirut explosion,7.5100203,9.91431,8.0,cbsnews.com
"Israel says Iran's missile and drone attack largely thwarted, with ""very little damage"" caused",4.9337535,6.861736,8.0,cbsnews.com
Hundreds attend pro-Israel rally in Dallas,11.595698,5.607341,5.0,cbsnews.com
Killings of Hamas leader in Iran and Hezbollah commander in Beirut fuel fears that Israel-Gaza war will spread,7.301633,9.680718,8.0,cbsnews.com
Secretary of State Antony Blinken hoping to help broker deal in Israel-Hamas war,5.0416484,11.750742,5.0,cbsnews.com
"U.S. poised to send $1 billion in weapons to Israel, sources say",6.13952,5.980966,8.0,cbsnews.com
"U.S. assisting Israel to find intelligence ""gaps"" prior to Oct. 7 attack, Rep. Mike Turner says",6.5043073,6.292473,8.0,cbsnews.com
Temporary cease-fire between Israel and Hamas to begin Thursday,9.019622,5.6390157,5.0,cbsnews.com
"Nasrallah’s killing, Israeli airstrikes raise risk of wider conflict: Here’s what to know",4.677369,9.12259,7.0,cnn.com
Fresh rocket attacks and ground battles as Israel and Hamas conflict intensifies,5.784082,8.310443,7.0,cnn.com
US official lays out new details on Gaza ceasefire talks and says Netanyahu comments on Philadelphi Corridor not constructive,6.2549353,10.082837,5.0,cnn.com
What we know about the six hostages who Israel says were killed by Hamas in Gaza,12.246128,9.557153,5.0,cnn.com
"Live updates: Israel-Hamas war in Gaza, deadly Rafah strike sparks global outcry",8.550323,8.083175,5.0,cnn.com
"‘In Gaza, every day for Palestinian journalists is a question of life or death,’ says reporter",9.852158,8.393322,0.0,cnn.com
"Middle East on ""verge of the abyss,' UN warns as Gaza suffers and Israel prepares for offensive",7.9529653,7.1675863,5.0,cnn.com
Exclusive interview: ICC prosecutor seeks arrest warrants against Sinwar and Netanyahu for war crimes over October 7 attack and Gaza,11.334942,4.0977697,5.0,cnn.com
"November 21, 2023 Israel-Hamas war",10.294981,2.130044,10.0,cnn.com
Nowhere to go': Ordinary Palestinians live in fear as Israel retaliates against Hamas,9.841372,6.9860635,3.0,cnn.com
"December 19, 2023 Israel-Hamas war",-5.9117303,10.822104,10.0,cnn.com
Live updates: Israel-Hamas war rages as Gaza evacuations continue,8.430258,8.146841,8.0,cnn.com
Israeli ambassador: 'The military operation will resume' if Israel-Hamas truce isn't extended,8.29428,4.4377046,8.0,cnn.com
"January 19, 2024 Israel-Hamas war",10.394831,2.9520748,10.0,cnn.com
"Live updates: Pro-Palestinian college protests against Israel-Hamas war at Portland State, UCLA, Columbia campuses",12.177412,6.216545,5.0,cnn.com
What we know about Israel’s allegations against UNRWA staffers in Gaza,9.055505,4.2528825,5.0,cnn.com
Israeli ambassador: Truce with Hamas 'could be extended day by day',8.298505,4.3539376,5.0,cnn.com
State Department bypasses Congress to send thousands of munitions to Israel,6.0966043,5.9040813,8.0,cnn.com
"May 7, 2024 Israel-Hamas war",10.56688,2.79055,10.0,cnn.com
"Beirut strikes target potential new Hezbollah chief, Israeli official says",4.1372533,8.422875,8.0,cnn.com
"December 25, 2023 Israel-Hamas war",-5.9213014,10.83238,10.0,cnn.com
Video: Biden speaks out about Israel-Hamas war at Human Rights Campaign national dinner,7.160285,4.784784,5.0,cnn.com
They followed evacuation orders. An Israeli airstrike killed them the next day.,7.92438,9.0502,2.0,cnn.com
Northern Israeli students face uncertain school year as conflict with Hezbollah persists,9.127273,9.288214,5.0,cnn.com
Blinken seeks to maintain US pressure on Israel in high-stakes visit as Middle East tensions skyrocket,4.986816,11.76975,5.0,cnn.com
Israeli protests demand Gaza deal after IDF says 6 hostages killed,12.419306,9.733414,5.0,cnn.com
Biden administration makes clear it has no plans to place conditions on military aid to Israel despite pressure from lawmakers,6.7179804,5.1269393,5.0,cnn.com
"December 22, 2023 Israel-Hamas war",-5.944432,10.854741,10.0,cnn.com
Israel-Hamas war risks further deglobalization and inflation,9.418376,6.963214,5.0,cnn.com
